uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1445791639.04, 1445791869.91, 1445791639.04, 1445791874.61, 1445792068.07, 1445792069.19
unit.000001, step_1, 1445791639.05, 1445791891.2, 1445791639.05, 1445791895.76, 1445792090.18, 1445792091.49
unit.000002, step_1, 1445791639.05, 1445791894.76, 1445791639.05, 1445791899.17, 1445792090.68, 1445792091.69
unit.000003, step_1, 1445791639.06, 1445791763.93, 1445791639.06, 1445791768.59, 1445791961.31, 1445791962.51
unit.000004, step_1, 1445791639.06, 1445791905.64, 1445791639.06, 1445791910.13, 1445792101.15, 1445792102.38
unit.000005, step_1, 1445791639.06, 1445791913.09, 1445791639.06, 1445791917.58, 1445792108.8, 1445792110.33
unit.000006, step_1, 1445791639.07, 1445791920.31, 1445791639.07, 1445791925.33, 1445792116.04, 1445792117.24
unit.000007, step_1, 1445791639.08, 1445791928.43, 1445791639.08, 1445791933.12, 1445792123.59, 1445792125.29
unit.000008, step_1, 1445791639.08, 1445791935.67, 1445791639.08, 1445791940.42, 1445792131.13, 1445792133.28
unit.000009, step_1, 1445791639.09, 1445791946.52, 1445791639.09, 1445791951.11, 1445792141.89, 1445792143.25
unit.000010, step_1, 1445791639.09, 1445791957.4, 1445791639.09, 1445791961.83, 1445792156.36, 1445792158.13
unit.000011, step_1, 1445791639.1, 1445791666.21, 1445791639.1, 1445791670.88, 1445791862.52, 1445791863.89
unit.000012, step_1, 1445791639.1, 1445791847.75, 1445791639.1, 1445791852.21, 1445792045.84, 1445792047.05
unit.000013, step_1, 1445791639.11, 1445791818.36, 1445791639.11, 1445791822.89, 1445792015.47, 1445792017.09
unit.000014, step_1, 1445791639.11, 1445791979.34, 1445791639.11, 1445791984.79, 1445792175.55, 1445792176.72
unit.000015, step_1, 1445791639.11, 1445791713.34, 1445791639.11, 1445791717.91, 1445791908.55, 1445791910.27
unit.000016, step_1, 1445791639.11, 1445791964.7, 1445791639.11, 1445791969.45, 1445792162.49, 1445792163.95
unit.000017, step_1, 1445791639.13, 1445792001.81, 1445791639.13, 1445792006.39, 1445792197.13, 1445792198.95
unit.000018, step_1, 1445791639.13, 1445792012.68, 1445791639.13, 1445792017.31, 1445792210.58, 1445792212.56
unit.000019, step_1, 1445791639.14, 1445792023.92, 1445791639.14, 1445792028.57, 1445792219.51, 1445792220.8
unit.000020, step_1, 1445791639.14, 1445792027.54, 1445791639.14, 1445792032.28, 1445792223.32, 1445792225.42
unit.000021, step_1, 1445791639.14, 1445792038.64, 1445791639.14, 1445792043.33, 1445792234.45, 1445792235.7
