uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1446527192.32, 1446528452.79, 1446527192.32, 1446528456.68, 1446528648.56, 1446528650.28
unit.000001, step_1, 1446527192.32, 1446528462.68, 1446527192.32, 1446528466.8, 1446528659.95, 1446528660.46
unit.000002, step_1, 1446527192.32, 1446528473.6, 1446527192.32, 1446528478.1, 1446528668.91, 1446528670.28
unit.000003, step_1, 1446527192.33, 1446528479.92, 1446527192.33, 1446528484.07, 1446528675.66, 1446528677.43
unit.000004, step_1, 1446527192.33, 1446528484.36, 1446527192.33, 1446528488.56, 1446528681.81, 1446528683.57
unit.000005, step_1, 1446527192.33, 1446528490.25, 1446527192.33, 1446528494.34, 1446528685.63, 1446528686.77
unit.000006, step_1, 1446527192.33, 1446528494.85, 1446527192.33, 1446528498.84, 1446528691.38, 1446528692.81
unit.000007, step_1, 1446527192.33, 1446528501.45, 1446527192.33, 1446528505.73, 1446528696.72, 1446528697.97
unit.000008, step_1, 1446527192.33, 1446528508.74, 1446527192.33, 1446528513.29, 1446528704.37, 1446528705.32
unit.000009, step_1, 1446527192.33, 1446528518.4, 1446527192.33, 1446528522.45, 1446528714.25, 1446528715.66
unit.000010, step_1, 1446527192.34, 1446528525.36, 1446527192.34, 1446528529.35, 1446528721.82, 1446528723.03
unit.000011, step_1, 1446527192.34, 1446528528.66, 1446527192.34, 1446528533.1, 1446528725.83, 1446528727.13
unit.000012, step_1, 1446527192.34, 1446528528.96, 1446527192.34, 1446528533.48, 1446528724.22, 1446528725.05
unit.000013, step_1, 1446527192.34, 1446528535.82, 1446527192.34, 1446528540.5, 1446528731.38, 1446528732.17
unit.000014, step_1, 1446527192.34, 1446528548.32, 1446527192.34, 1446528552.43, 1446528745.28, 1446528746.74
unit.000015, step_1, 1446527192.34, 1446528539.88, 1446527192.34, 1446528545.36, 1446528738.63, 1446528739.38
unit.000016, step_1, 1446527192.35, 1446528558.88, 1446527192.35, 1446528563.46, 1446528756.26, 1446528756.84
unit.000017, step_1, 1446527192.35, 1446528566.31, 1446527192.35, 1446528570.43, 1446528766.85, 1446528768.34
unit.000018, step_1, 1446527192.35, 1446528573.69, 1446527192.35, 1446528577.84, 1446528772.49, 1446528773.96
unit.000019, step_1, 1446527192.35, 1446528580.75, 1446527192.35, 1446528584.93, 1446528775.71, 1446528775.98
unit.000020, step_1, 1446527192.35, 1446528591.48, 1446527192.35, 1446528595.66, 1446528789.61, 1446528790.97
