uid, iter, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, 1, sim, 1457398432.97, 1457398435.34, 1457398435.34, 1457398438.54, 1457398438.55, 1457398438.56, 1457398438.57,1457398439.64, 1457398631.21, 1457398631.22, 1457398631.24, 1457398632.59, 1457398632.62
unit.000001, 1, sim, 1457398432.97, 1457398436.39, 1457398436.39, 1457398439.69, 1457398439.71, 1457398439.71, 1457398439.72,1457398439.92, 1457398643.94, 1457398643.95, 1457398643.98, 1457398644.69, 1457398644.72
unit.000002, 1, sim, 1457398432.97, 1457398434.61, 1457398434.61, 1457398438.13, 1457398438.14, 1457398438.15, 1457398438.15,1457398438.21, 1457398651.16, 1457398651.31, 1457398651.31, 1457398653.1, 1457398653.13
unit.000003, 1, sim, 1457398432.97, 1457398435.85, 1457398435.85, 1457398438.88, 1457398438.89, 1457398438.89, 1457398438.9,1457398439.84, 1457398631.72, 1457398631.74, 1457398631.74, 1457398632.85, 1457398632.88
unit.000004, 1, sim, 1457398432.97, 1457398434.94, 1457398434.94, 1457398438.28, 1457398438.28, 1457398438.29, 1457398438.3,1457398438.57, 1457398659.73, 1457398659.73, 1457398659.74, 1457398661.54, 1457398661.57
unit.000005, 1, sim, 1457398432.97, 1457398435.1, 1457398435.1, 1457398438.39, 1457398438.4, 1457398438.4, 1457398438.41,1457398438.84, 1457398630.91, 1457398630.93, 1457398630.93, 1457398632.4, 1457398632.42
unit.000006, 1, sim, 1457398432.97, 1457398435.23, 1457398435.23, 1457398438.45, 1457398438.46, 1457398438.47, 1457398438.47,1457398438.97, 1457398631.91, 1457398631.92, 1457398631.97, 1457398632.51, 1457398632.54
unit.000007, 1, sim, 1457398432.97, 1457398434.88, 1457398434.88, 1457398438.22, 1457398438.23, 1457398438.23, 1457398438.24,1457398438.43, 1457398651.56, 1457398651.57, 1457398651.57, 1457398653.15, 1457398653.18
unit.000008, 1, sim, 1457398432.98, 1457398435.46, 1457398435.46, 1457398438.62, 1457398438.63, 1457398438.63, 1457398438.64,1457398439.78, 1457398630.81, 1457398630.83, 1457398630.9, 1457398632.7, 1457398632.73
unit.000009, 1, sim, 1457398432.98, 1457398435.63, 1457398435.63, 1457398438.73, 1457398438.74, 1457398438.74, 1457398438.75,1457398439.8, 1457398631.58, 1457398631.61, 1457398631.61, 1457398632.79, 1457398632.82
unit.000010, 1, sim, 1457398432.98, 1457398435.74, 1457398435.74, 1457398438.78, 1457398438.79, 1457398438.8, 1457398438.81,1457398439.82, 1457398645.35, 1457398645.35, 1457398645.36, 1457398645.73, 1457398645.76
unit.000011, 1, sim, 1457398432.98, 1457398435.4, 1457398435.4, 1457398438.58, 1457398438.59, 1457398438.6, 1457398438.6,1457398439.74, 1457398630.91, 1457398630.94, 1457398630.94, 1457398632.65, 1457398632.67
