uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1445788896.92, 1445788907.96, 1445788896.92, 1445788912.55, 1445789103.08, 1445789104.48
unit.000001, step_1, 1445788896.93, 1445788897.93, 1445788896.93, 1445788908.16, 1445789099.81, 1445789101.94
unit.000002, step_1, 1445788896.93, 1445788917.3, 1445788896.93, 1445788921.98, 1445789112.44, 1445789114.64
unit.000003, step_1, 1445788896.93, 1445788920.9, 1445788896.93, 1445788925.36, 1445789116.75, 1445789118.08
unit.000004, step_1, 1445788896.93, 1445788925.85, 1445788896.93, 1445788930.29, 1445789122.56, 1445789123.88
unit.000005, step_1, 1445788896.93, 1445788906.5, 1445788896.93, 1445788911.13, 1445789102.42, 1445789103.21
unit.000006, step_1, 1445788896.93, 1445788913.67, 1445788896.93, 1445788918.17, 1445789108.93, 1445789111.19
unit.000007, step_1, 1445788896.94, 1445788928.05, 1445788896.94, 1445788932.71, 1445789125.86, 1445789127.14
unit.000008, step_1, 1445788896.94, 1445788915.08, 1445788896.94, 1445788919.66, 1445789115.95, 1445789116.99
unit.000009, step_1, 1445788896.94, 1445788922.29, 1445788896.94, 1445788926.86, 1445789117.25, 1445789118.25
unit.000010, step_1, 1445788896.94, 1445788911.52, 1445788896.94, 1445788916.03, 1445789109.23, 1445789111.19
unit.000011, step_1, 1445788896.94, 1445788918.69, 1445788896.94, 1445788923.19, 1445789114.74, 1445789116.82
unit.000012, step_1, 1445788896.94, 1445788904.38, 1445788896.94, 1445788908.82, 1445789100.72, 1445789102.12
unit.000013, step_1, 1445788896.95, 1445788924.48, 1445788896.95, 1445788928.98, 1445789119.75, 1445789121.52
unit.000014, step_1, 1445788896.95, 1445788910.07, 1445788896.95, 1445788914.53, 1445789105.02, 1445789106.66
unit.000015, step_1, 1445788896.95, 1445788897.93, 1445788896.95, 1445788907.96, 1445789100.62, 1445789101.94
unit.000016, step_2, 1445789128.77, 1445789131.66, 1445789128.77, 1445789133.63, 1445789346.03, 1445789347.71
unit.000017, step_2, 1445789128.78, 1445789135.36, 1445789128.78, 1445789137.21, 1445789350.95, 1445789352.62
unit.000018, step_2, 1445789128.78, 1445789133.54, 1445789128.78, 1445789135.37, 1445789347.84, 1445789349.17
unit.000019, step_2, 1445789128.78, 1445789137.06, 1445789128.78, 1445789138.95, 1445789352.55, 1445789354.06
unit.000020, step_2, 1445789128.78, 1445789130.1, 1445789128.78, 1445789131.91, 1445789344.53, 1445789346.29
unit.000021, step_2, 1445789128.79, 1445789131.0, 1445789128.79, 1445789133.1, 1445789345.43, 1445789347.55
unit.000022, step_2, 1445789128.79, 1445789134.45, 1445789128.79, 1445789136.34, 1445789352.71, 1445789354.06
unit.000023, step_2, 1445789128.79, 1445789133.74, 1445789128.79, 1445789136.14, 1445789348.34, 1445789349.17
unit.000024, step_2, 1445789128.8, 1445789132.62, 1445789128.8, 1445789134.52, 1445789346.7, 1445789347.9
unit.000025, step_2, 1445789128.8, 1445789135.25, 1445789128.8, 1445789137.01, 1445789350.55, 1445789352.62
unit.000026, step_2, 1445789128.8, 1445789129.83, 1445789128.8, 1445789131.7, 1445789345.13, 1445789346.27
unit.000027, step_2, 1445789128.8, 1445789131.92, 1445789128.8, 1445789133.83, 1445789346.34, 1445789347.73
unit.000028, step_2, 1445789128.81, 1445789136.15, 1445789128.81, 1445789138.32, 1445789350.85, 1445789352.8
unit.000029, step_2, 1445789128.81, 1445789130.74, 1445789128.81, 1445789132.57, 1445789344.73, 1445789346.45
unit.000030, step_2, 1445789128.81, 1445789132.82, 1445789128.81, 1445789134.7, 1445789347.14, 1445789347.91
unit.000031, step_2, 1445789128.81, 1445789136.26, 1445789128.81, 1445789138.52, 1445789351.55, 1445789352.8
