# 640/160 smic, 6000 steps

step,probe,timestamp

allocate,start_time,2015-10-02 22:50:55.646717
allocate,stop_time,2015-10-02 22:51:01.392015
deallocate,start_time,2015-10-02 23:27:55.165851
deallocate,stop_time,2015-10-02 23:28:26.576013

######

ENMD-core-t-inside cluster.run() call: 2015-10-03 02:51:01.394946
ENMD-core-timing-1: 5.755173
ENMD-appl-timing-0: 0.000261
ENMD-appl-timing-1: 0.002512
ENMD-core-t-before cluster.run() call: 2015-10-03 02:51:01.394740

######

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-03 03:02:12.326259; 2015-10-03 03:02:12.385325; 0.059066
cycle_1; pp_step_enmd_overhead; 2015-10-03 03:02:12.326259; 2015-10-03 03:02:12.385325; 0.059066
cycle_1; ex_step; 2015-10-03 03:01:56.197003; 2015-10-03 03:02:12.326178; 16.129175
cycle_1; ex_step_enmd_overhead; 2015-10-03 03:01:56.197003; 2015-10-03 03:01:56.202529; 0.005526
cycle_1; md_step; 2015-10-03 02:52:08.426860; 2015-10-03 03:01:56.193350; 587.76649
cycle_1; md_step_enmd_overhead; 2015-10-03 02:52:08.426860; 2015-10-03 02:52:10.873275; 2.446415
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000640; 2015-10-03 03:01:56.207000; 2015-10-03 03:01:56.657000; 2015-10-03 03:01:55.605000; 2015-10-03 03:01:55.615000; 2015-10-03 03:02:02.231000; 2015-10-03 03:02:06.254000; cycle_1; ex_step
unit.000357; 2015-10-03 02:52:14.566000; 2015-10-03 02:52:44.155000; 2015-10-03 02:52:43.158000; 2015-10-03 02:59:16.018000; 2015-10-03 03:01:35.592000; 2015-10-03 03:01:35.637000; cycle_1; md_step
unit.000356; 2015-10-03 02:52:14.565000; 2015-10-03 02:52:27.213000; 2015-10-03 02:52:26.168000; 2015-10-03 02:52:26.195000; 2015-10-03 02:54:44.070000; 2015-10-03 02:54:44.108000; cycle_1; md_step
unit.000355; 2015-10-03 02:52:14.564000; 2015-10-03 02:52:36.705000; 2015-10-03 02:52:35.684000; 2015-10-03 02:54:48.769000; 2015-10-03 02:57:07.703000; 2015-10-03 02:57:07.724000; cycle_1; md_step
unit.000354; 2015-10-03 02:52:14.564000; 2015-10-03 02:52:48.212000; 2015-10-03 02:52:47.205000; 2015-10-03 02:59:21.253000; 2015-10-03 03:01:40.503000; 2015-10-03 03:01:40.538000; cycle_1; md_step
unit.000353; 2015-10-03 02:52:14.563000; 2015-10-03 02:52:31.128000; 2015-10-03 02:52:29.957000; 2015-10-03 02:52:30.002000; 2015-10-03 02:54:51.654000; 2015-10-03 02:54:51.695000; cycle_1; md_step
unit.000352; 2015-10-03 02:52:14.562000; 2015-10-03 02:52:29.286000; 2015-10-03 02:52:28.227000; 2015-10-03 02:52:28.256000; 2015-10-03 02:54:49.592000; 2015-10-03 02:54:49.629000; cycle_1; md_step
unit.000351; 2015-10-03 02:52:14.562000; 2015-10-03 02:52:35.171000; 2015-10-03 02:52:34.184000; 2015-10-03 02:54:46.619000; 2015-10-03 02:57:04.661000; 2015-10-03 02:57:04.687000; cycle_1; md_step
unit.000350; 2015-10-03 02:52:14.561000; 2015-10-03 02:52:36.420000; 2015-10-03 02:52:35.263000; 2015-10-03 02:54:46.993000; 2015-10-03 02:57:06.176000; 2015-10-03 02:57:06.206000; cycle_1; md_step
unit.000359; 2015-10-03 02:52:14.567000; 2015-10-03 02:52:49.156000; 2015-10-03 02:52:48; 2015-10-03 02:59:22.419000; 2015-10-03 03:01:41.522000; 2015-10-03 03:01:41.563000; cycle_1; md_step
unit.000358; 2015-10-03 02:52:14.566000; 2015-10-03 02:52:47.414000; 2015-10-03 02:52:46.324000; 2015-10-03 02:59:19.688000; 2015-10-03 03:01:40.199000; 2015-10-03 03:01:40.231000; cycle_1; md_step
