uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1445813853.89, 1445814116.86, 1445813853.89, 1445814121.72, 1445814315.22, 1445814317.09
unit.000001, step_1, 1445813853.9, 1445813986.65, 1445813853.9, 1445813991.44, 1445814186.08, 1445814186.72
unit.000002, step_1, 1445813853.91, 1445813990.53, 1445813853.91, 1445813995.3, 1445814186.88, 1445814187.9
unit.000003, step_1, 1445813853.92, 1445813904.29, 1445813853.92, 1445813909.16, 1445814100.39, 1445814101.7
unit.000004, step_1, 1445813853.92, 1445813909.38, 1445813853.92, 1445813914.04, 1445814104.84, 1445814106.52
unit.000005, step_1, 1445813853.93, 1445814221.62, 1445813853.93, 1445814226.61, 1445814418.04, 1445814419.7
unit.000006, step_1, 1445813853.94, 1445814366.62, 1445813853.94, 1445814371.48, 1445814562.03, 1445814563.52
unit.000007, step_1, 1445813853.95, 1445814670.02, 1445813853.95, 1445814674.83, 1445814866.0, 1445814867.26
unit.000008, step_1, 1445813853.97, 1445813984.35, 1445813853.97, 1445813988.96, 1445814185.87, 1445814186.64
unit.000009, step_1, 1445813853.97, 1445814530.38, 1445813853.97, 1445814535.03, 1445814728.05, 1445814728.95
unit.000010, step_1, 1445813853.98, 1445814472.21, 1445813853.98, 1445814478.31, 1445814670.08, 1445814671.74
unit.000011, step_1, 1445813853.98, 1445813995.9, 1445813853.98, 1445814000.68, 1445814191.31, 1445814192.66
unit.000012, step_1, 1445813853.98, 1445814018.59, 1445813853.98, 1445814023.5, 1445814218.28, 1445814219.11
unit.000013, step_1, 1445813854.0, 1445814611.85, 1445813854.0, 1445814616.96, 1445814822.53, 1445814824.75
unit.000014, step_1, 1445813854.0, 1445813862.03, 1445813854.0, 1445813869.3, 1445814062.85, 1445814064.57
unit.000015, step_1, 1445813854.0, 1445813915.66, 1445813854.0, 1445813920.3, 1445814111.18, 1445814112.28
unit.000016, step_1, 1445813854.01, 1445814175.44, 1445813854.01, 1445814180.16, 1445814371.36, 1445814371.98
unit.000017, step_1, 1445813854.01, 1445813889.4, 1445813854.01, 1445813894.24, 1445814086.92, 1445814087.97
unit.000018, step_1, 1445813854.02, 1445813885.67, 1445813854.02, 1445813890.46, 1445814080.88, 1445814083.14
unit.000019, step_1, 1445813854.02, 1445814051.48, 1445813854.02, 1445814056.27, 1445814246.97, 1445814248.1
unit.000020, step_1, 1445813854.02, 1445814205.04, 1445813854.02, 1445814209.81, 1445814400.67, 1445814402.3
unit.000021, step_1, 1445813854.02, 1445814267.79, 1445813854.02, 1445814272.88, 1445814463.62, 1445814464.43
unit.000022, step_1, 1445813854.03, 1445814802.82, 1445813854.03, 1445814807.73, 1445815001.45, 1445815002.51
